생존1,"1-Upper,2-Middle,3-Lower Class",,,본인을 제외한 형제 자매 배우자 인원,"본인을 제외한 부모,자식",지불 금액,+,+,+,,,탑승항구,+,,342,,,,,,,,,
0,3,male,9,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,40
0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,50,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,0
1,3,female,63,0,0,9.5875,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,60,,,,0
1,1,male,25,1,0,91.0792,C,First,man,TRUE,B,Cherbourg,yes,FALSE,1,,,,,20,,,,90
0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
1,1,female,35,1,0,90,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,30,,,,90
0,1,male,58,0,0,29.7,C,First,man,TRUE,B,Cherbourg,no,TRUE,FALSE,,,,,50,,,,20
0,3,male,30,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,3,male,9,1,1,15.9,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,10
0,3,male,,1,0,19.9667,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,0,,,,10
0,3,male,21,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,55,0,0,30.5,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,50,,,,30
0,1,male,71,0,0,49.5042,C,First,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,70,,,,40
0,3,male,21,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,0,0,14.4583,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,10
1,1,female,54,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1,,,,,50,,,,70
0,3,male,,0,0,15.1,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,10
0,1,female,25,1,2,151.55,S,First,woman,FALSE,C,Southampton,no,FALSE,FALSE,,,,,20,,,,150
0,3,male,24,0,0,7.7958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,17,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,3,female,21,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,,0,0,7.6292,Q,Third,woman,FALSE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
0,3,female,37,0,0,9.5875,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,1,female,16,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,1,,,,,10,,,,80
0,1,male,18,1,0,108.9,C,First,man,TRUE,C,Cherbourg,no,FALSE,FALSE,,,,,10,,,,100
1,2,female,33,0,2,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,20
1,1,male,,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE,1,,,,,0,,,,20
0,3,male,28,0,0,22.525,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,20
1,3,male,26,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,50
1,3,male,29,0,0,7.75,Q,Third,man,TRUE,,Queenstown,yes,TRUE,1,,,,,20,,,,0
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,1,male,36,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,1,,,,,30,,,,20
1,1,female,54,1,0,59.4,C,First,woman,FALSE,,Cherbourg,yes,FALSE,1,,,,,50,,,,50
0,3,male,24,0,0,7.4958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,47,0,0,34.0208,S,First,man,TRUE,D,Southampton,no,TRUE,FALSE,,,,,40,,,,30
1,2,female,34,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,1,,,,,30,,,,10
0,3,male,,0,0,24.15,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,20
1,2,female,36,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,20
0,3,male,32,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,1,female,30,0,0,93.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,1,,,,,30,,,,90
0,3,male,22,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
1,1,female,44,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,40,,,,50
0,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,40.5,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,40,,,,0
1,2,female,50,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,50,,,,10
0,1,male,,0,0,221.7792,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,0,,,,220
0,3,male,39,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,2,male,23,2,1,11.5,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,10
1,2,female,2,1,1,26,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
0,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,17,1,1,7.2292,C,Third,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,10,,,,0
1,3,female,,0,2,22.3583,C,Third,woman,FALSE,,Cherbourg,yes,FALSE,1,,,,,0,,,,20
0,3,female,30,0,0,8.6625,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,2,female,7,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
0,1,male,45,0,0,26.55,S,First,man,TRUE,B,Southampton,no,TRUE,FALSE,,,,,40,,,,20
1,1,female,30,0,0,106.425,C,First,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,30,,,,100
0,3,male,,0,0,14.5,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,10
1,1,female,22,0,2,49.5,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,20,,,,40
1,1,female,36,0,2,71,S,First,woman,FALSE,B,Southampton,yes,FALSE,1,,,,,30,,,,70
0,3,female,9,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,30
0,3,female,11,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,30
1,2,male,32,1,0,26,S,Second,man,TRUE,,Southampton,yes,FALSE,1,,,,,30,,,,20
0,1,male,50,1,0,106.425,C,First,man,TRUE,C,Cherbourg,no,FALSE,FALSE,,,,,50,,,,100
0,1,male,64,0,0,26,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,60,,,,20
1,2,female,19,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,10,,,,20
1,2,male,,0,0,13.8625,C,Second,man,TRUE,,Cherbourg,yes,TRUE,1,,,,,0,,,,10
0,3,male,33,1,1,20.525,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,20
1,2,male,8,1,1,36.75,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,30
1,1,male,17,0,2,110.8833,C,First,man,TRUE,C,Cherbourg,yes,FALSE,1,,,,,10,,,,110
0,2,male,27,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,20
0,3,male,,0,0,7.8292,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,3,male,22,0,0,7.225,C,Third,man,TRUE,,Cherbourg,yes,TRUE,1,,,,,20,,,,0
1,3,female,22,0,0,7.775,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
0,1,male,62,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,60,,,,20
1,1,female,48,1,0,39.6,C,First,woman,FALSE,A,Cherbourg,yes,FALSE,1,,,,,40,,,,30
0,1,male,,0,0,227.525,C,First,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,220
1,1,female,39,1,1,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE,1,,,,,30,,,,70
1,3,female,36,1,0,17.4,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,10
0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,40,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,2,male,28,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,female,,0,0,8.05,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,24,2,0,24.15,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,20
0,3,male,19,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,3,female,29,0,4,21.075,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,20
0,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
1,3,male,32,0,0,7.8542,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,30,,,,0
1,2,male,62,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE,1,,,,,60,,,,10
1,1,female,53,2,0,51.4792,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,50,,,,50
1,1,male,36,0,0,26.3875,S,First,man,TRUE,E,Southampton,yes,TRUE,1,,,,,30,,,,20
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,3,male,16,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,3,male,19,0,0,14.5,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,10
1,2,female,34,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,30,,,,10
1,1,female,39,1,0,55.9,S,First,woman,FALSE,E,Southampton,yes,FALSE,1,,,,,30,,,,50
0,3,female,,1,0,14.4583,C,Third,woman,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,0,,,,10
1,3,male,32,0,0,7.925,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,30,,,,0
1,2,female,25,1,1,30,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,30
1,1,female,39,1,1,110.8833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1,,,,,30,,,,110
0,2,male,54,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,20
0,1,male,36,0,0,40.125,C,First,man,TRUE,A,Cherbourg,no,TRUE,FALSE,,,,,30,,,,40
0,3,male,,0,0,8.7125,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
1,1,female,18,0,2,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE,1,,,,,10,,,,70
0,2,male,47,0,0,15,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,10
1,1,male,60,1,1,79.2,C,First,man,TRUE,B,Cherbourg,yes,FALSE,1,,,,,60,,,,70
0,3,male,22,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,35,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,1,female,52,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1,,,,,50,,,,70
0,3,male,47,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,3,female,,0,2,7.75,Q,Third,woman,FALSE,,Queenstown,no,FALSE,FALSE,,,,,0,,,,0
0,2,male,37,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,20
0,3,male,36,1,1,24.15,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,20
1,2,female,,0,0,33,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,0,,,,30
0,3,male,49,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
1,1,male,49,1,0,56.9292,C,First,man,TRUE,A,Cherbourg,yes,FALSE,1,,,,,40,,,,50
1,2,female,24,2,1,27,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,20
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,1,male,,0,0,42.4,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,40
0,3,male,44,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
1,1,male,35,0,0,26.55,C,First,man,TRUE,,Cherbourg,yes,TRUE,1,,,,,30,,,,20
0,3,male,36,1,0,15.55,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,10
0,3,male,30,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,1,male,27,0,0,30.5,S,First,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,30
1,2,female,22,1,2,41.5792,C,Second,woman,FALSE,,Cherbourg,yes,FALSE,1,,,,,20,,,,40
1,1,female,40,0,0,153.4625,S,First,woman,FALSE,C,Southampton,yes,TRUE,1,,,,,40,,,,150
0,3,female,39,1,5,31.275,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,30,,,,30
0,3,male,,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,1,,,,,0,,,,10
0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,35,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,2,female,24,1,2,65,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,60
0,3,male,34,1,1,14.4,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,10
0,3,female,26,1,0,16.1,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,10
1,2,female,4,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,1,,,,,0,,,,30
0,2,male,26,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,male,27,1,0,14.4542,C,Third,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,20,,,,10
1,1,male,42,1,0,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,1,,,,,40,,,,50
1,3,male,20,1,1,15.7417,C,Third,man,TRUE,,Cherbourg,yes,FALSE,1,,,,,20,,,,10
0,3,male,21,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,21,0,0,16.1,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,1,male,61,0,0,32.3208,S,First,man,TRUE,D,Southampton,no,TRUE,FALSE,,,,,60,,,,30
0,2,male,57,0,0,12.35,Q,Second,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,50,,,,10
1,1,female,21,0,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,TRUE,1,,,,,20,,,,70
0,3,male,26,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,0,0,7.7333,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,1,male,80,0,0,30,S,First,man,TRUE,A,Southampton,yes,TRUE,1,,,,,80,,,,30
0,3,male,51,0,0,7.0542,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,0
1,1,male,32,0,0,30.5,C,First,man,TRUE,B,Cherbourg,yes,TRUE,1,,,,,30,,,,30
0,1,male,,0,0,0,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,female,9,3,2,27.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
1,2,female,28,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,10
0,3,male,32,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,2,male,31,1,1,26.25,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,20
0,3,female,41,0,5,39.6875,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,40,,,,30
0,3,male,,1,0,16.1,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,0,,,,10
0,3,male,20,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,1,,,,,20,,,,60
0,3,female,2,3,2,27.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
1,3,male,,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,0,,,,50
1,3,female,0.75,2,1,19.2583,C,Third,child,FALSE,,Cherbourg,yes,FALSE,1,,,,,0,,,,10
1,1,male,48,1,0,76.7292,C,First,man,TRUE,D,Cherbourg,yes,FALSE,1,,,,,40,,,,70
0,3,male,19,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,1,male,56,0,0,35.5,C,First,man,TRUE,A,Cherbourg,yes,TRUE,1,,,,,50,,,,30
0,3,male,,0,0,7.55,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,3,female,23,0,0,7.55,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,2,female,18,0,1,23,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,10,,,,20
0,3,male,21,0,0,8.4333,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,3,female,,0,0,7.8292,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,3,female,18,0,0,6.75,Q,Third,woman,FALSE,,Queenstown,no,TRUE,FALSE,,,,,10,,,,0
0,2,male,24,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,70
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,female,32,1,1,15.5,Q,Third,woman,FALSE,,Queenstown,no,FALSE,FALSE,,,,,30,,,,10
0,2,male,23,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,1,male,58,0,2,113.275,C,First,man,TRUE,D,Cherbourg,no,FALSE,FALSE,,,,,50,,,,110
1,1,male,50,2,0,133.65,S,First,man,TRUE,,Southampton,yes,FALSE,1,,,,,50,,,,130
0,3,male,40,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,40,,,,0
0,1,male,47,0,0,25.5875,S,First,man,TRUE,E,Southampton,no,TRUE,FALSE,,,,,40,,,,20
0,3,male,36,0,0,7.4958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,3,male,20,1,0,7.925,S,Third,man,TRUE,,Southampton,yes,FALSE,1,,,,,20,,,,0
0,2,male,32,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,70
0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,male,,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,43,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
1,1,female,,1,0,52,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,0,,,,50
1,2,female,40,1,1,39,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,40,,,,30
0,1,male,31,1,0,52,S,First,man,TRUE,B,Southampton,no,FALSE,FALSE,,,,,30,,,,50
0,2,male,70,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,70,,,,10
1,2,male,31,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,1,,,,,30,,,,10
0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,18,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,3,male,24.5,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,3,female,18,0,0,9.8417,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,10,,,,0
0,3,female,43,1,6,46.9,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,40,,,,40
1,1,male,36,0,1,512.3292,C,First,man,TRUE,B,Cherbourg,yes,FALSE,1,,,,,30,,,,510
0,3,female,,0,0,8.1375,Q,Third,woman,FALSE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,1,male,27,0,0,76.7292,C,First,man,TRUE,D,Cherbourg,yes,TRUE,1,,,,,20,,,,70
0,3,male,20,0,0,9.225,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,14,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,40
0,2,male,60,1,1,39,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,60,,,,30
0,2,male,25,1,2,41.5792,C,Second,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,20,,,,40
0,3,male,14,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,30
0,3,male,19,0,0,10.1708,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,10
0,3,male,18,0,0,7.7958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,1,female,15,0,1,211.3375,S,First,child,FALSE,B,Southampton,yes,FALSE,1,,,,,10,,,,210
1,1,male,31,1,0,57,S,First,man,TRUE,B,Southampton,yes,FALSE,1,,,,,30,,,,50
1,3,female,4,0,1,13.4167,C,Third,child,FALSE,,Cherbourg,yes,FALSE,1,,,,,0,,,,10
1,3,male,,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,0,,,,50
0,3,male,25,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,60,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,60,,,,20
0,2,male,52,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,10
0,3,male,44,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
1,3,female,,0,0,7.7333,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,1,male,49,1,1,110.8833,C,First,man,TRUE,C,Cherbourg,no,FALSE,FALSE,,,,,40,,,,110
0,3,male,42,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,FALSE,,,,,40,,,,0
1,1,female,18,1,0,227.525,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1,,,,,10,,,,220
1,1,male,35,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,1,,,,,30,,,,20
0,3,female,18,0,1,14.4542,C,Third,woman,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,10,,,,10
0,3,male,25,0,0,7.7417,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,26,1,0,7.8542,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,0
0,2,male,39,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,20
1,2,female,45,0,0,13.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,40,,,,10
1,1,male,42,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,1,,,,,40,,,,20
1,1,female,22,0,0,151.55,S,First,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,150
1,3,male,,1,1,15.2458,C,Third,man,TRUE,,Cherbourg,yes,FALSE,1,,,,,0,,,,10
1,1,female,24,0,0,49.5042,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,1,,,,,20,,,,40
0,1,male,,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,0,,,,20
1,1,male,48,1,0,52,S,First,man,TRUE,C,Southampton,yes,FALSE,1,,,,,40,,,,50
0,3,male,29,0,0,9.4833,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,2,male,52,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,10
0,3,male,19,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,1,female,38,0,0,227.525,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,1,,,,,30,,,,220
1,2,female,27,0,0,10.5,S,Second,woman,FALSE,E,Southampton,yes,TRUE,1,,,,,20,,,,10
0,3,male,,0,0,15.5,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,10
0,3,male,33,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,2,female,6,0,1,33,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,30
0,3,male,17,1,0,7.0542,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,0
0,2,male,34,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,2,male,50,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,10
